title,author,price,publish_date,url,crawl_time
Python入门教程,张三,299.0,2026-07-01,https://example.com/1,2026-08-09 21:52:01
爬虫实战指南,李四,399.0,2026-07-15,https://example.com/2,2026-08-09 21:52:01
数据库原理与实践,王五,199.0,2026-06-20,https://example.com/3,2026-08-09 21:52:01
算法与数据结构,赵六,499.0,2026-08-01,https://example.com/4,2026-08-09 21:52:01
网络协议详解,钱七,259.0,2026-07-28,https://example.com/5,2026-08-09 21:52:01
测试自动化完整教程,孙八,359.0,2026-07-10,https://example.com/6,2026-08-09 21:52:01
面向对象设计模式,周九,449.0,2026-06-25,https://example.com/7,2026-08-09 21:52:01
Git版本控制实战,吴十,99.0,2026-07-05,https://example.com/8,2026-08-09 21:52:01
数据结构与算法,郑十一,399.0,2026-07-20,https://example.com/9,2026-08-09 21:52:01
并发编程,王十二,299.0,2026-07-12,https://example.com/10,2026-08-09 21:52:01
